"","Species","Limb_width","Limb_Length","Observer"
"1","Aptenodytes patagonicus",4.32326921797787,12.9471699994926,"Glori"
"2","Eudyptula minor",2.41772204655874,7.45155771014084,"Gee"
"3","Pygoscelis adeliae",5.21643889671063,12.4454465174596,"Sally"
"4","Eudyptula minor",3.18790520076344,4.65981672867688,"Gee"
"5","Aptenodytes patagonicus",2.51406455256269,15.1349273758064,"Sally"
"6","Pygoscelis adeliae",3.75573688775083,15.2630461749645,"Sally"
"7","Eudyptula minor",3.70841275569582,0.669970631783862,"Glori"
"8","Aptenodytes patagonicus",3.9807856811252,23.2271965686439,"Glori"
"9","Aptenodytes forsteri",3.65672927548419,9.27449623958539,"Gee"
"10","Pygoscelis adeliae",5.2286391324065,11.4175804966644,"Gee"
"11","Eudyptula minor",3.46657299655759,15.0859622558699,"Gee"
"12","Eudyptes chrysolophus",3.65010116566628,17.6088720692846,"Sally"
"13","Pygoscelis adeliae",4.93134571765517,10.6485259038773,"Glori"
"14","Eudyptula minor",2.5490111483777,5.08313723012589,"Glori"
"15","Eudyptes chrysolophus",4.81883938594649,23.6666974585305,"Sally"
"16","Pygoscelis adeliae",3.58903825696113,26.2025262682799,"Sally"
"17","Aptenodytes patagonicus",5.18806351444199,14.2416106676109,"Sally"
"18","Eudyptes chrysolophus",3.94032967171615,10.8548277525975,"Gee"
"19","Eudyptes chrysolophus",4.30721808037711,16.9755924913516,"Glori"
"20","Eudyptula minor",2.28498149726919,9.07900849926287,"Glori"
"21","Aptenodytes patagonicus",3.24067742137304,15.8541706017533,"Sally"
"22","Eudyptula minor",4.20779347489488,10.3480255261013,"Sally"
"23","Aptenodytes patagonicus",4.77814365990649,11.9028604950055,"Glori"
"24","Aptenodytes forsteri",3.50804961326116,8.40517244753739,"Gee"
"25","Pygoscelis adeliae",3.570537238213,8.88768789527436,"Sally"
"26","Aptenodytes forsteri",4.61483266966765,6.62500263664351,"Glori"
"27","Aptenodytes forsteri",2.94862834409806,7.72680382682571,"Gee"
"28","Aptenodytes patagonicus",4.62488985614671,19.7278186158116,"Gee"
"29","Aptenodytes patagonicus",2.60750759180027,13.8061163144719,"Sally"
"30","Aptenodytes forsteri",3.87992219200512,14.1906347514606,"Gee"
"31","Aptenodytes forsteri",4.92421074081641,30.6323409214355,"Glori"
"32","Eudyptes chrysolophus",4.43208524370225,11.0878951981201,"Gee"
"33","Eudyptes chrysolophus",4.86196450330254,21.2036041162116,"Sally"
"34","Aptenodytes forsteri",4.66519758931945,15.947497622873,"Sally"
"35","Aptenodytes forsteri",3.1916652390081,13.1457840887796,"Glori"
"36","Pygoscelis adeliae",4.41372122060129,20.0348211941459,"Gee"
"37","Pygoscelis adeliae",5.4465824283418,15.0998344453497,"Gee"
"38","Pygoscelis adeliae",3.16710805010349,16.6673421976593,"Gee"
"39","Pygoscelis adeliae",6.07019413912098,14.6252022326237,"Glori"
"40","Pygoscelis adeliae",6.51620076921841,23.5118591465216,"Sally"
"41","Aptenodytes patagonicus",3.90557432952702,14.6622176866973,"Gee"
"42","Pygoscelis adeliae",3.56395041840408,18.6781860674849,"Gee"
"43","Eudyptes chrysolophus",3.39855525949761,19.3559795012581,"Sally"
"44","Pygoscelis adeliae",4.20586149329291,6.34306412914573,"Glori"
"45","Eudyptes chrysolophus",4.91959991663338,18.6002255895847,"Glori"
"46","Aptenodytes patagonicus",3.28886185492947,8.87255448540014,"Glori"
"47","Pygoscelis adeliae",4.8943101569295,20.6754813697936,"Glori"
"48","Aptenodytes forsteri",4.07212425545706,9.98522772183352,"Gee"
"49","Aptenodytes patagonicus",4.08243463658435,10.8705358046415,"Gee"
"50","Aptenodytes forsteri",4.92580022958067,14.8427966040987,"Glori"
"51","Aptenodytes forsteri",4.88922975152386,24.0510379059438,"Gee"
"52","Aptenodytes forsteri",3.02988155329134,15.5413805340385,"Gee"
"53","Eudyptula minor",4.97816415055263,16.1580171228578,"Gee"
"54","Aptenodytes forsteri",4.91445903390355,10.1477332010671,"Glori"
"55","Aptenodytes forsteri",3.4053610234507,19.3213944065002,"Sally"
"56","Aptenodytes patagonicus",4.73469520206591,12.7824470683867,"Sally"
"57","Aptenodytes forsteri",4.29163425174076,10.3761265511975,"Gee"
"58","Pygoscelis adeliae",3.6077316279916,15.6904795138739,"Gee"
"59","Aptenodytes patagonicus",4.83367453740829,16.6516918596817,"Gee"
"60","Eudyptes chrysolophus",3.9263876164376,4.67425191070843,"Gee"
"61","Eudyptes chrysolophus",4.98221900059749,9.63584681496013,"Glori"
"62","Aptenodytes forsteri",4.55478784172143,23.1218870576524,"Gee"
"63","Pygoscelis adeliae",3.29716055283841,15.4194394748378,"Sally"
"64","Pygoscelis adeliae",4.4335497742764,15.4000986051333,"Sally"
"65","Pygoscelis adeliae",5.4077294953099,11.3899158421717,"Sally"
"66","Aptenodytes forsteri",2.64903163518429,13.214682021843,"Sally"
"67","Pygoscelis adeliae",5.07617613512653,17.3697765045496,"Gee"
"68","Eudyptes chrysolophus",4.92262346435084,15.2158376531692,"Glori"
"69","Aptenodytes patagonicus",3.75531715265168,10.2863451912302,"Sally"
"70","Eudyptes chrysolophus",4.46414390761634,21.687559456329,"Glori"
"71","Aptenodytes patagonicus",4.98895542133992,4.16335119565865,"Sally"
"72","Pygoscelis adeliae",4.70389823590794,15.624429608043,"Glori"
"73","Eudyptes chrysolophus",4.78192224330274,17.2438131029024,"Gee"
"74","Aptenodytes patagonicus",4.28113283462801,12.2768261694188,"Glori"
"75","Aptenodytes forsteri",3.51411115022058,23.3448133187096,"Sally"
"76","Eudyptes chrysolophus",3.42916909388654,9.27187298482163,"Gee"
"77","Eudyptes chrysolophus",3.62177773511295,14.2269286478864,"Sally"
"78","Aptenodytes forsteri",2.77963830568513,17.8649088499825,"Gee"
"79","Aptenodytes forsteri",4.32062190739048,15.0978644483826,"Glori"
"80","Aptenodytes forsteri",2.82342635798458,12.7153660959412,"Sally"
"81","Pygoscelis adeliae",3.91875151524621,13.2238459634435,"Glori"
"82","Aptenodytes forsteri",5.09462808233411,14.9048241188082,"Glori"
"83","Eudyptula minor",4.20149717228455,15.2096566775237,"Glori"
"84","Eudyptes chrysolophus",4.64091992378363,15.6268961382849,"Sally"
"85","Eudyptula minor",4.33484535957175,11.3640356519083,"Glori"
"86","Aptenodytes patagonicus",2.38964399543067,15.8568816573281,"Sally"
"87","Aptenodytes patagonicus",3.66328071758764,11.2763688672981,"Glori"
"88","Aptenodytes forsteri",5.46296547261507,10.3385330511801,"Sally"
"89","Eudyptes chrysolophus",3.23010943915726,11.1565832334883,"Glori"
"90","Pygoscelis adeliae",3.96556520805061,10.0589431938099,"Glori"
"91","Eudyptes chrysolophus",3.88510959127864,16.6229796861689,"Gee"
"92","Eudyptula minor",3.59193870706068,8.35336245807364,"Sally"
"93","Aptenodytes patagonicus",4.6931024630866,20.7665084032524,"Gee"
"94","Eudyptes chrysolophus",5.84020912331422,11.1854189557793,"Glori"
"95","Eudyptes chrysolophus",4.29838970505585,17.3127322336008,"Glori"
"96","Aptenodytes patagonicus",2.97879348646789,9.75641574613426,"Glori"
"97","Eudyptes chrysolophus",2.99176571840162,13.194039452884,"Gee"
"98","Aptenodytes forsteri",4.83825062926977,15.0773139834267,"Glori"
"99","Aptenodytes patagonicus",4.26946000335622,19.0491734163436,"Gee"
"100","Eudyptes chrysolophus",5.93853483601986,17.1368614793251,"Gee"
